"Age","Attrition","BusinessTravel","DailyRate","Department","DistanceFromHome","Education","EducationField","EnvironmentSatisfaction","Gender","HourlyRate","JobInvolvement","JobRole","JobSatisfaction","MaritalStatus","MonthlyIncome","MonthlyRate","NumCompaniesWorked","OverTime","PercentSalaryHike","PerformanceRating","RelationshipSatisfaction","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","WorkLifeBalance","YearsAtCompany","YearsInCurrentRole","YearsSinceLastPromotion","YearsWithCurrManager"
30,"0","3",1,"3",2,4,"2",3,"2",30,2.71479103401675,"8",4,"3",0.144113944004899,0.917536342920516,0,"0",15.2838451066138,3,1,1,0,3,3,10,0,2,5
48,"0","3",0.791517220341907,"2",2,4,"2",3,"1",73.3741274442669,2.09138364930064,"7",4,"2",0.190489525994555,0,2,"0",11.4646251470473,3,4,1,2,0,3,5,0,0,4
54,"0","1",0.0851942519566685,"3",15,3,"4",2,"2",52.3728987278716,3.57374227361843,"5",2,"1",0.881947610896331,1,5,"0",20.2883134279967,3,4,1,39,0,1,19,10,10,17
46,"0","2",0,"2",8,3,"5",2,"1",76.1056609767664,3.61618252974505,"4",4,"3",0.428724523444076,1,3,"0",17.9731393701874,3,3,1,15,5,3,6,2,0,2
18,"0","1",0.713357885270997,"2",25,1,"5",3,"1",90.4136548619996,2.68017523516746,"9",2,"2",0.174294375353492,0.140564354407738,9,"0",12.5086130670868,3,1,1,5,2,3,0,4,1,3
50,"0","2",0.154630818153478,"2",1,1,"1",4,"1",68.4810327290007,3.8713227194061,"4",1,"2",0.401138563939782,0.407544111648358,4,"0",18.0756737470028,3,2,1,18,3,2,4,2,0,5
24,"0","2",0.0208944511059104,"1",5,3,"4",3,"2",100,3.9125157056559,"5",3,"2",0,0.135283954176977,0,"1",17.3134327591954,3,1,2,8,3,2,11,0,0,1
55,"0","3",0.612000043966685,"1",5,2,"2",3,"1",79.1880042545104,2.32890009430343,"1",1,"1",0.277643535334797,0.057370855046233,8,"0",24.5947889701218,4,4,1,17,2,3,0,5,0,0
41,"0","1",0.282710450695586,"2",2,2,"3",1,"1",64.7930384983177,1.83879047944686,"5",3,"1",0.883916548543678,0.337766240620864,6,"0",15.357173629334,3,3,1,22,2,3,19,14,7,15
29,"0","2",0.480727686465671,"1",2,3,"1",4,"1",30,2.13397589557546,"1",4,"1",0.442316475312449,0.599986580151449,2,"0",13.142841108191,3,2,1,0,1,3,0,0,1,3
56,"0","2",0.458262269916913,"1",4,1,"1",3,"2",60.1710779368198,2.29628624564974,"3",3,"2",0,0.22093584468397,0,"0",20.5132310517324,3,3,1,0,5,1,0,0,0,2
30,"0","2",0.74849465213135,"1",1,1,"2",2,"1",87.1773553838583,3.20287486349532,"3",1,"1",0.107656386123787,0.106032444153497,0,"0",12.1482808342822,3,2,1,2,0,4,5,1,1,3
48,"0","2",0.625969650615687,"2",1,2,"3",4,"1",30,3.65116746267599,"2",4,"1",0.571303069220074,0,1,"0",15.3706487502613,3,3,1,33,1,1,7,9,1,2
41,"0","2",0,"3",21,4,"3",1,"1",86.1415521348923,3.1216453189817,"7",1,"3",0.758586902560714,1,1,"0",12.9952534589457,3,1,1,26,4,3,29,4,9,7
18,"0","3",0.654437847751071,"2",23,2,"1",1,"1",93.1517057489524,4.27221553376307,"7",3,"1",0.0492719452722511,0.702578891593409,2,"0",22.7567200971243,3,2,1,0,3,2,8,0,0,3
46,"0","3",0.679321505737424,"1",2,3,"1",2,"1",31.6984087175383,3.54023218423275,"1",1,"1",1,0.300438294455772,8,"0",16.5517449267668,3,1,1,12,2,1,0,0,3,0
42,"0","2",0.523426668794077,"3",19,3,"4",4,"1",86.6969686196641,2.91239296444049,"2",3,"2",0.70677252907307,0,4,"0",20.4588580886719,4,2,1,19,2,3,20,13,4,7
35,"0","3",0.225209479871275,"3",10,2,"6",2,"1",60.1537598679682,1.58303557799825,"9",2,"1",0.0626819207938587,1,0,"0",10.1022566217687,3,4,1,9,0,2,6,12,13,11
42,"0","2",0.126352173828336,"3",7,3,"6",3,"2",51.4651812059597,1.85137398301897,"9",2,"1",1,0.197261382280364,5,"0",21.7631095239463,3,1,1,18,2,2,7,4,0,5
38,"0","1",0.579295336024207,"2",3,1,"2",3,"2",83.2745151278674,1.29763862264206,"4",3,"1",0.892324412245466,0.315786784913292,1,"0",26.9520843545215,4,4,1,24,3,1,25,13,15,7
34,"0","3",0.261064163212345,"2",6,2,"4",3,"2",72.4189583138311,3.02617830735114,"3",2,"1",0.527780861482034,0.241975546179831,1,"0",19.8276312368004,3,2,1,6,1,2,1,4,3,0
33,"0","1",1,"2",23,2,"3",3,"2",62.0398670795743,3.26537946324383,"1",3,"2",0.58502884877085,0.103821757896473,0,"0",19.6323534285183,3,1,1,13,3,3,11,1,0,4
35,"0","2",1,"3",1,1,"3",3,"1",59.763863848501,3.44841686355131,"6",3,"1",0.336651232055451,0.651124660951612,0,"0",23.3887042158288,3,1,1,14,3,3,0,5,0,0
60,"0","2",0.298609858148487,"2",1,4,"4",2,"1",100,0.541999312947299,"1",4,"1",0.702446498315891,0.715712650688314,2,"0",19.9663213719021,4,2,1,18,1,3,0,0,2,3
48,"0","1",1,"2",1,4,"1",1,"1",57.6621380496683,2.41613139942679,"9",1,"1",1,0.45071568192453,5,"1",19.9419474090085,3,2,1,29,2,1,16,2,0,9
29,"0","1",0.64423923596827,"2",3,1,"2",2,"1",65.187684331889,2.97869476126021,"4",1,"1",0,0.931236025796003,5,"0",11.8244446312614,3,4,3,0,3,3,4,0,0,0
36,"0","1",0.493570818848243,"2",1,2,"3",3,"2",98.2337276363149,3.74619232890433,"1",4,"1",0.132445949299224,0.346478104047412,1,"0",18.3061184610469,3,3,1,15,1,3,17,5,5,7
38,"0","2",0,"1",1,1,"2",3,"1",45.461012476705,2.66672333745838,"5",1,"2",0.299122637755947,0.474631052177516,2,"0",17.8165571442407,3,4,1,3,1,1,1,1,0,0
54,"0","1",0.352019884976337,"1",1,3,"3",4,"1",47.1868915646397,2.66890183922274,"5",4,"2",0.628614035035554,0.100257037872003,9,"0",18.333520328221,3,4,1,28,1,1,19,3,14,10
36,"0","2",0.58464640487067,"1",3,3,"1",2,"2",63.9168475923869,0.986659238105361,"6",3,"2",0.373641799594229,0.437010216557597,2,"0",15.4215525064842,3,1,1,12,2,3,18,14,15,7
40,"0","3",0.760676943588909,"1",12,1,"3",3,"1",91.0122494535681,2.48615987569302,"3",3,"1",0.0671738817972364,0.37487809273538,8,"1",24.6466562512343,4,4,1,21,1,3,0,8,3,0
45,"0","3",0.698863171850152,"3",6,1,"1",1,"1",78.4980587048639,3.53464492500628,"9",4,"1",0.609884984478493,0.210101592914315,6,"0",12.4065335784653,3,3,1,19,2,1,13,11,1,9
31,"0","2",0.512769734947468,"2",1,1,"3",1,"1",38.4873395419611,2.84096786123573,"1",2,"1",0.270625000194625,0,0,"0",18.2515819717507,3,3,1,18,0,3,1,7,0,1
24,"0","2",0.306069385117177,"1",8,2,"5",3,"1",77.2709539121904,3.59579212275871,"7",4,"2",0.243779082364628,0.541853626047238,3,"0",11.8559943108165,3,3,1,6,2,4,6,4,0,7
28,"0","2",0.276678057470194,"3",13,4,"3",3,"2",42.6299660907612,3.33683633970686,"4",4,"2",0.232481155554464,0,0,"0",12.4537183925958,3,1,1,11,3,2,1,2,1,0
44,"0","3",0.932865026850449,"1",14,3,"2",2,"1",74.8303471152177,3.4187510304481,"8",1,"1",0.29996555191691,1,3,"0",15.7680941652246,3,3,1,21,3,3,2,0,0,0
30,"0","3",0.734301710336862,"1",24,1,"5",4,"1",71.4049891073041,2.22085226860581,"1",2,"1",0.0675869210607474,0.584845523589202,0,"0",15.5536957636286,3,2,1,13,3,2,3,2,3,6
41,"0","1",0.174173004506639,"2",14,2,"1",4,"1",60.9356013784439,1.1146877090806,"8",4,"1",0.319011412399717,1,0,"1",13.9017589031308,3,4,3,3,5,3,0,0,0,0
37,"0","1",0,"1",22,4,"3",1,"2",83.0239871588356,3.03106581292855,"3",4,"3",0.400600520228555,0.94729693339335,3,"0",19.3295694249409,3,1,1,12,0,2,0,8,0,6
41,"0","2",0.318283622419431,"2",30,3,"2",1,"1",98.2748549218772,2.81126043226691,"3",4,"1",0.290980421971081,0.725236083577489,1,"0",6.64013154341647,3,4,1,6,1,2,11,8,4,6
32,"0","1",0.729264577160847,"1",13,3,"3",1,"1",30,2.82129736939889,"1",3,"1",0,0.946616701754931,3,"0",18.3662713967874,3,1,1,11,4,2,7,4,2,0
48,"0","2",0.406765181392828,"1",4,2,"2",1,"1",47.0831473536218,2.94616641491038,"4",4,"2",1,0.182851062399317,5,"0",12.5595753149952,3,2,1,16,4,2,25,18,15,14
46,"0","1",0.24872740463456,"3",10,4,"1",2,"1",79.2177683087763,2.84312076366985,"8",2,"2",0.356896851247368,0.547908863656892,0,"0",20.7370336432489,3,4,1,18,0,2,11,12,1,13
26,"0","2",0.157123187286614,"1",1,3,"6",3,"1",93.0207479225499,2.75674148062497,"8",1,"1",0.391716761155205,0.0790396563812862,1,"0",13.8424426305977,3,2,1,1,2,1,0,4,0,8
22,"0","3",0.616429161174241,"1",1,2,"1",1,"1",54.8022030804483,1.6746617574677,"7",4,"1",0.337308710607674,0.303351444621335,2,"0",16.297635312127,3,4,1,7,1,1,9,0,0,2
34,"0","2",0,"2",16,4,"4",4,"1",71.3227428278563,3.8572141234691,"8",1,"1",0.266654037577046,0.173351295310889,0,"0",12.5991683604062,3,3,1,0,5,1,0,1,1,1
28,"0","3",0.578207047326467,"1",20,3,"1",2,"1",93.3441776099711,2.11781234846992,"1",1,"3",0.505441455953041,0.693182711274363,2,"0",18.934915942308,3,1,1,8,1,2,17,15,1,4
37,"0","3",0.845246985096907,"1",1,3,"4",4,"1",56.2223529936551,3.12769682380841,"5",1,"1",0.579194495509577,0.585593868364074,1,"0",14.1485374371849,3,2,1,25,2,3,9,10,6,6
30,"0","1",0.107553709994995,"2",17,1,"5",4,"1",42.4160894795837,2.31783095119848,"5",4,"1",0.115531137552524,0,2,"0",22.4560229643878,3,3,1,15,3,2,7,4,1,5
41,"0","3",1,"1",15,2,"1",3,"2",60.8120375127659,3.39466915737804,"4",2,"2",0.781512573514953,0.11269857553834,5,"0",10.4226269729868,3,1,1,29,2,3,4,0,0,5
18,"0","2",0.831592814897575,"1",21,1,"3",1,"2",64.9361834263969,3.6155987665742,"5",2,"2",0.414705917456049,0,0,"0",10.2578592943039,3,1,1,0,1,2,4,0,1,9
30,"0","2",0.60894667000318,"1",1,2,"5",3,"2",100,3.37625989462891,"8",1,"2",0,0,0,"0",9.27516280749856,3,2,1,13,3,2,0,9,0,4
33,"0","3",0.43105458179988,"2",5,3,"4",4,"2",99.1597130086121,2.39445599170765,"9",1,"2",0.443281203594882,1,0,"0",11.8673483957888,3,4,1,10,5,2,1,0,0,3
24,"0","2",0.654242541252424,"3",10,1,"2",1,"1",83.2298808829413,3.7639967422204,"9",4,"2",0.481442206406099,1,3,"0",12.3415922613963,3,1,1,0,1,4,1,6,2,2
49,"0","2",1,"2",1,1,"2",1,"2",46.6228595489136,2.84314022874289,"1",3,"1",1,0.0918923246196123,1,"1",13.9617848347404,3,3,1,13,3,2,23,8,3,5
56,"0","1",0.678837697167519,"2",7,4,"4",1,"1",100,3.9674499156043,"2",3,"1",0.956517844734314,1,0,"0",23.7956385496542,4,1,1,35,1,2,16,7,2,12
41,"0","2",0.285102660251855,"1",2,2,"2",2,"1",30,3.24480581594053,"6",4,"3",0.266971756472783,0.66531065343308,3,"0",16.484961955439,3,4,1,18,6,2,5,6,7,5
22,"0","2",0.744703796134562,"2",14,2,"6",2,"1",93.4184030841227,3.2192784939555,"8",1,"3",0.218056245452962,0.609155246166287,5,"0",17.4390698955134,3,1,1,5,6,3,4,0,0,3
36,"0","3",0.877244609735774,"1",6,3,"1",1,"2",100,2.05755868067859,"7",3,"3",0.37619803220449,0.922218435152942,3,"0",9.80177977069098,3,2,1,19,1,3,19,12,13,3
38,"0","3",0.602432522579327,"2",1,3,"2",2,"2",79.5857982342114,4.63649997486331,"1",4,"2",0.440620486783315,0.329760741413522,1,"0",18.4233392496077,3,1,3,28,4,1,16,10,10,5
26,"0","1",0.641404924853398,"1",17,2,"1",1,"1",43.4667964884611,3.24267222701431,"9",4,"2",0,0.29510532838981,0,"0",21.7171894715874,3,3,1,0,1,1,1,0,3,1
36,"0","3",0.32813710039702,"2",1,4,"3",2,"1",89.736884285818,1.58593460183433,"1",3,"1",0.205868491862037,0.520791573555199,4,"0",22.7718342976019,3,2,1,20,2,3,7,0,0,0
24,"0","2",0.449804102498181,"2",28,1,"5",4,"1",30,3.4749430925993,"9",4,"2",0.124297091222386,0.620023465760429,0,"0",27.6877220495085,4,2,1,5,5,1,0,4,2,6
25,"0","2",0.882627035296489,"1",1,5,"4",3,"2",64.4535023825809,3.4049272091235,"1",2,"2",0.183428121156779,0.216743380579925,1,"1",7.31800674769949,3,1,1,9,1,2,7,3,0,0
42,"0","2",0.889258955410785,"1",22,1,"2",4,"1",90.8105414652223,1.7296898429384,"5",1,"2",0.984086676326822,0.455397840327268,5,"0",11.9515207457539,3,3,1,26,2,3,30,11,10,10
27,"0","1",0.904798236912663,"1",17,2,"5",4,"1",71.4966539559308,1.88455533617766,"3",1,"1",0,0.460155565455073,2,"0",10.7867426271607,3,1,2,10,2,3,4,11,0,8
36,"0","2",0.53304551412815,"1",16,1,"2",1,"2",53.9665935896153,2.8550659407375,"5",2,"1",0.417310285965852,0.0597189055087083,2,"0",13.730656624166,3,1,1,12,1,3,5,7,0,11
58,"0","3",0.830211458662262,"1",5,3,"3",2,"1",68.6815992783585,3.1341299377525,"5",1,"2",0.499198861264568,0.320618959320557,3,"0",25.7057353031871,3,1,3,9,2,1,4,0,1,0
41,"0","1",0.299939404080079,"1",5,2,"1",3,"1",38.2363792591174,3.35728228528459,"3",2,"1",0.390666807436103,0.982111229858157,0,"0",5.82668934597605,3,2,1,19,4,2,14,8,2,11
37,"0","1",0.480878966192244,"3",20,1,"1",3,"1",52.4501120743599,2.21586279655171,"1",3,"2",0.784165752771465,0.754938135213794,0,"0",14.2697886422971,3,4,1,0,1,3,6,6,6,0
42,"0","2",0.609147091350006,"2",18,1,"2",2,"2",81.4439438280295,3.18197282468279,"9",3,"1",0.0160469022590345,0.205905314067643,0,"1",12.0139494056021,3,4,1,3,4,3,8,7,3,3
45,"0","3",1,"2",30,3,"4",1,"1",63.556892162825,2.18534347963155,"4",3,"2",1,0,0,"0",14.2422218015489,3,3,1,23,0,1,14,0,4,17
40,"0","2",0.247011138694622,"1",15,2,"1",1,"2",100,3.50379868797146,"5",2,"1",1,0.0874701910522191,3,"0",27.0397572264786,4,2,1,18,2,4,1,0,0,0
40,"0","3",0.0787304689336442,"1",30,1,"1",2,"1",89.2352409724481,3.43319472138879,"4",1,"1",0.383951313192022,0.641871745470977,0,"0",15.286870987129,3,1,1,17,2,3,13,5,1,0
36,"0","1",0.509651552903187,"2",5,3,"3",1,"1",67.0008639471804,3.9863326317189,"5",2,"2",0.452450770847255,0.457986053479538,2,"0",15.1154877353327,3,2,1,23,4,2,7,3,0,1
47,"0","2",0.399756175068485,"2",12,2,"3",4,"2",48.6925189704658,2.3753549524689,"4",2,"2",1,0.613645977956067,5,"0",20.9538204230457,3,2,1,19,1,2,3,0,3,0
50,"0","3",0.0897145238664253,"1",9,3,"1",1,"1",62.2998060867737,3.50300126453258,"5",3,"2",0.582994781372567,0.0151612294810294,5,"1",5.16379933929729,3,4,1,21,2,3,11,13,3,11
52,"0","1",0.484441467296506,"1",6,2,"4",2,"1",89.1347543869476,0.886523197280861,"1",4,"1",0.260652677401339,0.549173003508409,9,"0",10.4522784993846,3,4,3,3,3,2,17,10,0,7
41,"0","1",0.368914619377804,"1",6,1,"2",2,"1",42.4471967817312,4.11375784735685,"1",2,"1",0.207249233311733,0.419936630628545,0,"0",23.1174906083457,3,3,1,0,1,3,9,3,3,1
25,"0","2",0.626343739717144,"2",7,1,"2",2,"1",49.748437141412,2.78183555581339,"3",1,"1",0.514761126344378,0.806602331753698,1,"0",26.6096318365692,3,3,1,7,4,3,21,6,0,3
55,"0","1",0.457494732134314,"2",8,2,"2",2,"1",39.9519944162056,3.2186290108445,"3",3,"3",0,0.809749024984892,8,"0",8.41488603710065,3,3,1,20,4,2,0,2,0,0
26,"0","3",0.392061645261391,"2",12,2,"2",4,"1",30,2.41459004032754,"3",4,"1",0.0277246003276838,0.557381146989783,0,"0",9.72221576924606,3,2,2,3,2,1,18,5,6,1
37,"0","3",0.626589008749686,"2",6,2,"2",4,"1",53.8303935701757,2.52479507097948,"7",2,"2",0.0251170181164571,0.692307194463353,1,"0",12.9232595359881,3,4,1,8,3,4,8,6,1,3
25,"0","1",0.409815469820697,"1",13,1,"1",3,"1",100,3.43226141280008,"3",1,"2",0.256776538412249,0.282656616794946,1,"0",6.88585072974915,3,3,1,0,0,2,14,3,3,2
26,"0","2",0.73948976814775,"2",5,3,"4",2,"2",33.2284847405531,2.4796973838769,"6",2,"1",0.230683283081594,0.504880583632711,0,"0",17.0764735976111,3,3,1,14,1,2,0,0,0,4
35,"0","3",0.310314023940077,"2",1,3,"2",4,"2",71.6693337647092,1.85631456113083,"1",1,"2",0.303727805396862,0.678207447187297,0,"0",11.8535591115093,3,2,1,0,3,3,0,3,0,1
48,"0","2",0.535989474732911,"1",9,4,"1",3,"1",53.3499431619921,2.76610330531818,"3",3,"1",0.324904209785035,0.276546204038529,5,"0",19.7790058468748,3,2,1,28,2,1,5,3,0,7
31,"0","2",0.866433923436386,"2",5,2,"5",3,"1",62.8517572539041,4.39323082231237,"1",3,"2",0.0597749624834849,0.307948521866755,0,"0",15.0628140201213,3,1,1,5,3,3,4,12,8,11
21,"0","1",0.227114527270349,"2",9,1,"2",3,"2",61.7150428601831,1.22683329866269,"7",3,"3",0.121138229386108,0.902735037892879,4,"0",19.7826010566918,4,2,1,2,4,3,3,1,0,0
40,"0","2",0.776045021949265,"3",4,3,"5",1,"2",83.0563891171169,2.28663362250864,"9",2,"1",0.253920482097429,1,6,"0",16.1627081426456,3,4,2,9,3,3,14,11,0,8
43,"0","1",1,"1",1,1,"1",2,"2",100,2.78111933660647,"2",4,"2",0.27528304605221,0.354520031325053,0,"0",15.8412323982133,4,2,1,6,1,2,5,3,3,15
27,"0","3",0.0683477075858986,"1",1,1,"2",1,"2",87.1954841532308,2.55611347216872,"5",4,"1",0.470759327649574,1,0,"0",15.1087293762466,3,2,1,4,2,3,14,4,0,2
42,"0","3",0.707255459073877,"1",10,2,"3",1,"2",95.4296491807143,4.75733872944853,"2",1,"1",0.402202080242575,0.645420538431282,0,"0",12.7668291195011,3,2,1,0,5,2,5,1,1,0
26,"0","2",0.659622086580606,"1",8,1,"4",1,"1",78.0649061095802,2.48751708006261,"7",4,"2",0.820581655531004,0,8,"0",10.3351167928101,3,3,1,12,3,3,6,11,0,1
32,"0","1",0.420267107662114,"3",17,4,"5",3,"1",48.5248053925291,4.00327292025545,"9",1,"2",0.512551434407615,0.046466061825807,0,"0",8.93587059743023,3,2,1,1,2,2,3,5,10,10
41,"0","2",0,"2",6,3,"2",2,"2",77.5068822056879,3.63507123009993,"3",2,"2",0.427669415756388,0,1,"0",19.4863833843221,4,2,1,3,3,3,4,5,0,2
45,"0","2",0.0612716745057326,"2",20,3,"4",2,"1",72.1035595874651,3.60935258269439,"3",4,"1",0.633771220845938,0.193014915301623,3,"0",11.6290141542565,3,1,1,30,2,2,18,17,4,13
34,"0","3",1,"2",3,4,"4",1,"1",48.7320396686324,1.36253139475409,"2",1,"1",0.178511577309794,0.384057352869738,6,"0",15.4310667035383,3,1,1,5,3,2,16,0,0,0
23,"0","3",0.102684704723007,"2",1,3,"4",1,"1",30,2.96416504673855,"2",3,"2",0.556808230844202,0.632677675411816,0,"0",22.6700902921069,4,3,1,8,5,3,6,7,5,7
30,"0","1",0.688729841367849,"2",2,4,"3",3,"1",92.0911841921573,1.09917729981974,"5",3,"2",0.118258477872231,0,0,"0",10.4892768927484,3,4,1,4,1,2,6,11,5,0
43,"0","1",0.210761210027696,"2",1,1,"2",3,"1",57.5148646302322,3.27912725357745,"7",2,"1",0.178359398378115,0.493448472479794,0,"0",10.1241802411097,3,4,2,2,1,2,4,8,2,1
18,"0","2",0,"2",1,2,"1",2,"2",90.6662963789391,2.89387378903901,"7",3,"3",0.162156144173744,0.480893886365599,3,"0",15.3102483842354,3,2,1,8,6,4,2,2,3,0
36,"0","3",0.599975816941828,"1",30,3,"4",1,"2",97.0229798606305,3.4095551301045,"1",3,"3",0.360173450543549,0.397872381201879,2,"0",23.2348924000871,4,3,1,36,4,4,11,13,12,13
21,"0","1",1,"1",27,1,"1",3,"1",99.3037926355948,4.16587785192309,"2",3,"1",0.335689761529178,0.916974015200821,0,"0",25.6695774126449,4,3,1,3,1,2,2,5,0,6
26,"0","2",0.250975652258494,"1",13,2,"4",3,"1",57.2529464070535,4.12708819082615,"6",3,"2",0.777665619455225,0.718189571276832,1,"0",25.3644070791759,3,1,1,18,1,3,21,8,5,3
39,"0","2",0.934516169465578,"1",1,2,"1",4,"2",77.2886824149507,4.76211683890995,"6",4,"2",0.0383785138435384,0.593993001769395,0,"0",17.1100855095165,3,1,1,0,0,3,4,0,3,4
47,"0","2",1,"1",6,4,"3",1,"1",59.5836990794745,2.60249540794352,"3",1,"2",0.892262200021882,0.746175677505961,9,"0",8.75683535557313,3,1,1,13,4,1,12,5,1,2
18,"0","1",0.857098851927715,"2",17,1,"5",1,"1",37.6818402411711,3.41776683179957,"6",3,"3",0,0.221424116999886,1,"0",12.7277560795482,3,3,1,0,3,1,2,0,0,0
25,"0","3",1,"2",28,5,"5",4,"2",30,3.56238241922525,"8",3,"3",0.619633948763822,0.424319086402353,2,"0",9.23582146978098,3,2,2,1,2,3,8,0,2,0
52,"0","1",0.101237935874057,"1",13,1,"4",2,"1",30,1.31146351394951,"1",1,"1",0.504183987510003,1,3,"0",14.8607847204962,3,4,1,33,1,3,40,14,15,0
41,"0","1",0.721456921573968,"2",14,2,"2",1,"1",88.2335537611215,0.951388924303795,"8",1,"2",0.4664714707051,0.612401678173531,1,"0",14.7535893973786,3,2,1,12,0,2,14,5,0,7
33,"0","3",0,"1",11,4,"3",2,"1",49.7938139858852,3.50599062137803,"1",4,"2",0.285149564476355,0.0115732743514104,1,"0",16.9715628646462,3,1,1,9,3,2,3,3,0,0
42,"0","1",0.613897319496038,"3",12,1,"2",2,"2",72.0011627814642,2.86793334573711,"6",3,"2",0.641045201696219,0.449088036821835,0,"0",17.3450398844954,3,1,1,4,2,3,5,7,0,6
56,"0","1",0.663927257174156,"1",7,3,"1",2,"1",72.7885776057361,4.26169185417371,"8",4,"2",0.582202987181779,0.508297349137863,6,"0",20.3095940334479,3,1,1,37,1,1,5,2,3,2
37,"0","3",0.728403678601083,"2",25,1,"5",3,"1",93.5191804536496,3.1678432525546,"9",3,"1",0.356413274540906,0.307963329853762,2,"0",17.9706399628337,3,2,1,0,1,3,7,1,3,0
32,"0","2",0,"2",5,2,"2",4,"1",36.7525857948291,1.98549569633574,"5",4,"2",0.0192954127626962,0.421306734059919,0,"0",19.1457431209792,4,1,1,0,0,2,9,11,0,8
42,"0","2",0.358097618588702,"3",19,1,"1",3,"1",45.1733567967453,2.08822479072388,"7",4,"1",0.294164828982713,0.145679640419462,0,"0",15.1197004733141,3,4,1,15,1,3,0,2,2,2
38,"0","3",0.950937059123647,"2",18,2,"6",1,"2",63.0260101223123,2.57364328694827,"7",3,"1",0.330104016795254,0.705025104053881,1,"0",16.7685818341136,3,1,1,13,2,2,3,11,2,8
19,"0","2",0.31915762487413,"1",10,2,"3",2,"1",86.4270694203065,3.27375858910685,"6",3,"2",0.0543871086136572,1,3,"0",9.42650035802666,3,2,1,4,1,2,8,5,0,7
31,"0","2",0.817557003291202,"1",4,1,"3",4,"1",54.1931187281628,4.50059917867488,"4",2,"1",0,0.983299830419539,3,"1",11.9043765355724,3,2,1,4,4,4,3,0,0,0
21,"0","2",0,"1",4,1,"5",2,"2",72.7234285821579,2.32594430205396,"7",4,"1",0.0183449823124383,0.290446319535504,3,"0",9.67095191736454,3,3,1,0,3,3,1,0,0,0
53,"0","3",0,"1",3,3,"1",3,"1",100,3.32732388639836,"2",2,"2",0.961186250920082,0.210137826064769,6,"0",20.6420980617244,3,1,1,28,4,2,10,2,9,8
28,"0","3",0.195443525188427,"2",7,3,"1",2,"2",57.3468342723031,2.7066430451017,"8",3,"2",0.0876586923792745,0.613392842245289,0,"0",15.1578835861794,3,3,1,0,5,3,0,0,3,6
40,"0","1",0.108375677644769,"1",16,1,"3",3,"1",100,2.82942953155278,"7",2,"1",0.673287394667207,0.328312344263964,5,"0",12.9250698257048,3,2,3,15,2,3,9,0,0,2
48,"0","2",0.310476954737524,"1",4,3,"1",2,"1",57.8030695978422,3.07605517212672,"4",1,"1",0.535850105111303,0.497449923214118,0,"0",10.6544198466747,3,3,1,15,4,2,17,11,2,12
54,"0","2",1,"2",22,2,"2",1,"1",100,2.43012521306271,"8",1,"3",0.168780599838228,0,4,"0",7.36032495482,3,4,1,24,3,1,20,17,8,11
